Title,Character,Killer,Female,Employed,Related,Financial,AIch1web,AIch1passage,AIch20p
The_Moving_Finger,Mrs Maud Dane Calthrop,0,1,0,0,0,0,0,0
A_Murder_Is_Announced,Letitia/Charlotte Blacklock,1,1,0,0,1,1,1,1
A_Murder_Is_Announced,Dora Bunner,0,1,0,0,0,0,0,0
A_Murder_Is_Announced,Mrs Swettenham,0,1,0,0,0,0,0,0
A_Murder_Is_Announced,Edmund Swettenham,0,0,1,0,0,0,0,0
A_Murder_Is_Announced,Patrick Simmons,0,0,0,0,0,0,0,0
A_Murder_Is_Announced,Julia Simmons/Emma,0,1,1,0,0,0,0,0
A_Murder_Is_Announced,Phillipa Haymes,0,1,1,0,0,0,0,0
A_Murder_Is_Announced,Mitzi,0,1,1,0,0,0,0,0
A_Murder_Is_Announced,Miss Amy Murgatroyd,0,1,0,0,0,0,0,0
A_Murder_Is_Announced,Miss Hinchcliffe,0,1,0,0,0,0,0,0
A_Murder_Is_Announced,Colonel Easterbrook,0,0,0,0,0,0,0,0
A_Murder_Is_Announced,Mrs Easterbrook,0,1,0,0,0,0,0,0
A_Murder_Is_Announced,Inspector Dermot Craddock,0,0,1,0,0,0,0,0
A_Murder_Is_Announced,Rev. Julian Harmon,0,0,1,0,0,0,0,0
A_Murder_Is_Announced,"Diana ""Bunch"" Harmon",0,1,0,0,0,0,0,0
They_Do_It_with_Mirrors,Carrie Louise Serrocold,0,1,0,1,0,0,0,0
They_Do_It_with_Mirrors,Lewis Serrocold,1,0,1,1,1,1,1,1
They_Do_It_with_Mirrors,Mildred Strete,0,1,0,1,0,0,0,0
They_Do_It_with_Mirrors,Ruth van Rydock,0,1,0,0,0,0,0,0
They_Do_It_with_Mirrors,Stephen Restarick,0,0,1,0,0,0,0,0
They_Do_It_with_Mirrors,Alexis Restarick,0,0,1,0,0,0,0,0
They_Do_It_with_Mirrors,Gina Hudd,0,1,0,1,0,0,0,0
They_Do_It_with_Mirrors,Walter Hudd,0,0,1,1,0,0,0,0
They_Do_It_with_Mirrors,Edgar Lawson,0,0,0,0,0,0,0,0
They_Do_It_with_Mirrors,Juliet (Jolly) Bellever,0,1,1,0,0,0,0,1
They_Do_It_with_Mirrors,Inspector Curry,0,0,1,0,0,0,0,0
They_Do_It_with_Mirrors,Detective Sergeant Lake,0,0,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Inspector Neele,0,0,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Sergeant Hay,0,0,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Lancelot Fortescue,1,0,0,1,1,0,0,0
A_Pocket_Full_of_Rye,Pat Fortescue,0,1,0,1,1,0,0,0
A_Pocket_Full_of_Rye,Percival Fortescue,0,0,1,1,1,0,0,1
A_Pocket_Full_of_Rye,Jennifer Fortescue,0,1,0,1,1,0,0,0
A_Pocket_Full_of_Rye,Elaine Fortescue,0,1,0,1,1,0,0,0
A_Pocket_Full_of_Rye,Gerald Wright,0,0,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Miss Ramsbottom,0,1,0,1,0,0,0,0
A_Pocket_Full_of_Rye,Adele Fortescue ,0,1,0,1,1,1,1,1
A_Pocket_Full_of_Rye,Vivian Dubois,0,0,1,0,0,0,0,1
A_Pocket_Full_of_Rye,Mary Dove (housekeeper),0,1,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Mrs Crump (cook),0,1,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Mr Crump (butler),0,0,1,0,0,0,0,0
A_Pocket_Full_of_Rye,Gladys Martin,0,1,1,0,0,0,0,0
4.50_from_Paddington,Elspeth McGillicuddy,0,1,0,0,0,0,0,0
4.50_from_Paddington,Lucy Eyelesbarrow,0,1,1,0,0,0,0,0
4.50_from_Paddington,Luther Crackenthorpe,0,0,0,0,0,0,0,0
4.50_from_Paddington,Emma Crackenthorpe,0,1,0,0,0,0,0,1
4.50_from_Paddington,Alfred Crackenthorpe,0,0,1,0,0,1,1,1
4.50_from_Paddington,Harold Crackenthorpe,0,0,1,0,0,1,1,1
4.50_from_Paddington,Lady Alice Crackenthorpe (Harold’s wife) ,0,1,0,0,0,0,0,0
4.50_from_Paddington,Cedric Crackenthorpe,0,0,1,0,0,1,1,1
4.50_from_Paddington,Bryan Eastley,0,0,1,0,0,1,1,1
4.50_from_Paddington,Alexander Eastley,0,0,0,0,0,0,0,0
4.50_from_Paddington,James Stoddart-West,0,0,0,0,0,0,0,0
4.50_from_Paddington,Lady Stoddart-West,0,1,0,0,0,0,0,0
4.50_from_Paddington,Dr Quimper,1,0,1,1,1,1,1,0
The_Mirror_Crackd_from_Side_to_Side,Marina Gregg,1,1,1,0,0,1,0,1
The_Mirror_Crackd_from_Side_to_Side,Jason Rudd,0,0,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Gladys Dixon,0,1,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Arthur Badcock,0,0,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Margot Bence,0,1,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Lola Brewster,0,1,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Ardwyck Fenn,0,0,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Mrs. Knight,0,1,1,0,0,0,1,0
The_Mirror_Crackd_from_Side_to_Side,Mrs Cherry Baker,0,1,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Jim Baker,0,0,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Ella Zielinsky,0,1,1,0,0,0,0,0
The_Mirror_Crackd_from_Side_to_Side,Giuseppe,0,0,1,0,0,0,0,0
A_Caribbean_Mystery,Tim Kendal,1,0,1,0,0,1,0,0
A_Caribbean_Mystery,Molly Kendal,0,1,1,0,0,0,0,0
A_Caribbean_Mystery,Jason Rafiel,0,0,1,0,0,1,0,0
A_Caribbean_Mystery,Esther Walters,0,1,1,0,0,0,0,0
A_Caribbean_Mystery,Jackson,0,0,1,0,0,1,0,0
A_Caribbean_Mystery,Greg Dyson,0,0,1,0,0,1,1,1
A_Caribbean_Mystery,Lucky Dyson,0,1,0,0,0,0,0,0
A_Caribbean_Mystery,Edward Hillingdon,0,0,1,0,0,1,0,1
A_Caribbean_Mystery,Evelyn Hillingdon,0,1,0,0,0,0,0,1
A_Caribbean_Mystery,Joan Prescott,0,1,0,0,0,0,0,0
A_Caribbean_Mystery,Rev Jeremy Prescott,0,0,1,0,0,1,0,0
A_Caribbean_Mystery,Dr Graham,0,0,1,0,0,0,0,0
A_Caribbean_Mystery,Victoria,0,1,1,0,0,0,0,0
At_Bertrams_Hotel,Elvira Blake,1,1,0,1,1,0,0,0
At_Bertrams_Hotel,Bess Sedgwick,0,1,1,1,0,0,0,0
At_Bertrams_Hotel,Canon Pennyfather,0,0,1,0,0,0,0,0
At_Bertrams_Hotel,Chief Inspector Davy,0,0,1,0,0,0,0,0
At_Bertrams_Hotel,Ladislaus Malinowski,0,0,1,0,0,0,0,0
At_Bertrams_Hotel,Mr. Humfries (the manager),0,0,1,0,0,1,1,0
At_Bertrams_Hotel,Michael “Micky” Gorman,0,0,1,0,0,0,0,1
At_Bertrams_Hotel,Bridget,0,1,0,0,0,0,0,0
At_Bertrams_Hotel,Colonel Derek Luscombe ,0,0,1,0,0,0,0,0
At_Bertrams_Hotel,Miss Gorringe ,0,1,1,0,0,0,0,0
At_Bertrams_Hotel,Mrs Carpenter,0,1,1,0,0,0,0,0
At_Bertrams_Hotel,Henry (Maitre d' at Bertram's hotel),0,0,1,0,0,0,0,0
At_Bertrams_Hotel,Richard Egerton (lawyer),0,0,1,0,0,0,0,0
Nemesis,Michael Rafiel,0,0,1,0,0,0,0,0
Nemesis,Clotilde Bradbury-Scott,1,1,0,1,0,0,0,0
Nemesis,Lavinia Bradbury-Scott,0,1,0,0,0,0,0,0
Nemesis,Anthea Bradbury-Scott,0,1,0,0,0,0,0,0
Nemesis,Professor Wanstead,0,0,1,0,0,0,0,0
Nemesis,Miss Cooke,0,1,1,0,0,0,0,1
Nemesis,Miss Barrow,0,1,1,0,0,0,0,1
Nemesis,Esther Walters,0,1,0,0,0,0,0,0
Nemesis,Archdeacon Brabazon,0,0,1,0,0,0,0,0
Nemesis,Joanna Crawford,0,1,0,0,0,0,0,0
Nemesis,Emlyn Price,0,0,1,0,0,0,0,0
Nemesis,Arthur Jackson,0,0,1,0,0,1,1,0
Nemesis,Elizabeth Temple,0,1,0,0,0,0,0,0
Sleeping_Murder,Gwenda Reed,0,1,0,1,0,0,0,0
Sleeping_Murder,Giles Reed,0,0,1,0,0,0,0,0
Sleeping_Murder,Dr. James Kennedy,1,0,1,1,0,1,1,0
Sleeping_Murder,Walter Fane,0,0,1,0,0,0,0,0
Sleeping_Murder,Mrs. Erskine,0,1,0,0,0,0,0,0
Sleeping_Murder,Mr. Erskine,0,0,1,0,0,0,0,0
Sleeping_Murder,Mrs Cocker (cook),0,1,1,0,0,0,0,0
Sleeping_Murder,Manning (gardner),0,0,1,0,0,0,0,0
Sleeping_Murder,Jackie (J. J.) Afflick,0,0,1,0,0,0,0,0
Sleeping_Murder,Richard Erskine,0,0,1,0,0,0,0,0
Sleeping_Murder,Janet Erskine,0,1,0,0,0,0,0,0
Sleeping_Murder,Lily Abbott Kimble,0,1,0,0,0,0,0,0
Sleeping_Murder,Kelvin James Halliday,0,0,0,1,0,0,0,1
